topology,n_agents,n_sources,n_principals,pre_surface,post_surface,collapse_ratio,collapse_factor,n_chokepoints,total_high_value_claims,top3_coverage,seed
wide_fan,120,12,120,132,4,0.030303030303030304,33.0,4,313,0.8338658146964856,4
wide_fan,120,12,120,132,7,0.05303030303030303,18.857142857142858,7,437,0.597254004576659,5
wide_fan,120,12,120,132,4,0.030303030303030304,33.0,4,313,0.8338658146964856,6
wide_fan,120,12,120,132,2,0.015151515151515152,66.0,2,199,1.0,7
wide_fan,120,12,120,132,4,0.030303030303030304,33.0,4,313,0.8338658146964856,8
wide_fan,120,12,120,132,6,0.045454545454545456,22.0,6,400,0.6525,9
wide_fan,120,12,120,132,6,0.045454545454545456,22.0,6,400,0.6525,10
wide_fan,120,12,120,132,5,0.03787878787878788,26.4,5,359,0.7270194986072424,11
wide_fan,120,12,120,132,3,0.022727272727272728,44.0,3,261,1.0,12
wide_fan,120,12,120,132,4,0.030303030303030304,33.0,4,313,0.8338658146964856,13
wide_fan,120,12,120,132,2,0.015151515151515152,66.0,2,199,1.0,14
wide_fan,120,12,120,132,4,0.030303030303030304,33.0,4,313,0.8338658146964856,15
wide_fan,120,12,120,132,5,0.03787878787878788,26.4,5,359,0.7270194986072424,16
wide_fan,120,12,120,132,3,0.022727272727272728,44.0,3,261,1.0,17
wide_fan,120,12,120,132,5,0.03787878787878788,26.4,5,359,0.7270194986072424,18
wide_fan,120,12,120,132,2,0.015151515151515152,66.0,2,199,1.0,19
wide_fan,120,12,120,132,3,0.022727272727272728,44.0,3,261,1.0,20
wide_fan,120,12,120,132,5,0.03787878787878788,26.4,5,359,0.7270194986072424,21
wide_fan,120,12,120,132,4,0.030303030303030304,33.0,4,313,0.8338658146964856,22
wide_fan,120,12,120,132,3,0.022727272727272728,44.0,3,261,1.0,23
wide_fan,120,12,120,132,2,0.015151515151515152,66.0,2,199,1.0,24
wide_fan,120,12,120,132,6,0.045454545454545456,22.0,6,400,0.6525,25
wide_fan,120,12,120,132,3,0.022727272727272728,44.0,3,261,1.0,26
wide_fan,120,12,120,132,5,0.03787878787878788,26.4,5,359,0.7270194986072424,27
wide_fan,120,12,120,132,6,0.045454545454545456,22.0,6,400,0.6525,28
wide_fan,120,12,120,132,4,0.030303030303030304,33.0,4,313,0.8338658146964856,29
multi_org_mesh,70,35,45,105,8,0.0761904761904762,13.125,8,122,0.6721311475409836,0
multi_org_mesh,70,35,45,105,12,0.11428571428571428,8.75,12,139,0.5899280575539568,1
multi_org_mesh,70,35,45,105,9,0.08571428571428572,11.666666666666666,9,127,0.6456692913385826,2
multi_org_mesh,70,35,45,105,10,0.09523809523809523,10.5,10,131,0.6259541984732825,3
multi_org_mesh,70,35,45,105,17,0.1619047619047619,6.176470588235294,17,154,0.5324675324675324,4
multi_org_mesh,70,35,45,105,14,0.13333333333333333,7.5,14,145,0.5655172413793104,5
multi_org_mesh,70,35,45,105,7,0.06666666666666667,15.0,7,116,0.7068965517241379,6
multi_org_mesh,70,35,45,105,12,0.11428571428571428,8.75,12,139,0.5899280575539568,7
multi_org_mesh,70,35,45,105,14,0.13333333333333333,7.5,14,145,0.5655172413793104,8
multi_org_mesh,70,35,45,105,15,0.14285714285714285,7.0,15,148,0.5540540540540541,9
multi_org_mesh,70,35,45,105,12,0.11428571428571428,8.75,12,139,0.5899280575539568,10
multi_org_mesh,70,35,45,105,8,0.0761904761904762,13.125,8,122,0.6721311475409836,11
multi_org_mesh,70,35,45,105,12,0.11428571428571428,8.75,12,139,0.5899280575539568,12
multi_org_mesh,70,35,45,105,10,0.09523809523809523,10.5,10,131,0.6259541984732825,13
multi_org_mesh,70,35,45,105,13,0.12380952380952381,8.076923076923077,13,142,0.5774647887323944,14
multi_org_mesh,70,35,45,105,13,0.12380952380952381,8.076923076923077,13,142,0.5774647887323944,15
multi_org_mesh,70,35,45,105,13,0.12380952380952381,8.076923076923077,13,142,0.5774647887323944,16
multi_org_mesh,70,35,45,105,11,0.10476190476190476,9.545454545454545,11,135,0.6074074074074074,17
multi_org_mesh,70,35,45,105,8,0.0761904761904762,13.125,8,122,0.6721311475409836,18
multi_org_mesh,70,35,45,105,11,0.10476190476190476,9.545454545454545,11,135,0.6074074074074074,19
multi_org_mesh,70,35,45,105,11,0.10476190476190476,9.545454545454545,11,135,0.6074074074074074,20
multi_org_mesh,70,35,45,105,13,0.12380952380952381,8.076923076923077,13,142,0.5774647887323944,21
multi_org_mesh,70,35,45,105,12,0.11428571428571428,8.75,12,139,0.5899280575539568,22
multi_org_mesh,70,35,45,105,7,0.06666666666666667,15.0,7,116,0.7068965517241379,23
multi_org_mesh,70,35,45,105,16,0.1523809523809524,6.5625,16,151,0.543046357615894,24
multi_org_mesh,70,35,45,105,9,0.08571428571428572,11.666666666666666,9,127,0.6456692913385826,25
multi_org_mesh,70,35,45,105,11,0.10476190476190476,9.545454545454545,11,135,0.6074074074074074,26
multi_org_mesh,70,35,45,105,12,0.11428571428571428,8.75,12,139,0.5899280575539568,27
multi_org_mesh,70,35,45,105,10,0.09523809523809523,10.5,10,131,0.6259541984732825,28
multi_org_mesh,70,35,45,105,11,0.10476190476190476,9.545454545454545,11,135,0.6074074074074074,29
